Symbol,Description,Quantity,Price,Price Change $,Price Change %,Market Value,Day Change $,Day Change %,Cost Basis,Gain $,Gain %,Reinvest?,Reinvest Cap Gains?,Security Type,Strike Price,Strike Value,Current Value,Cost Value,Liquidation Value,Option Exercise Value,Total % Gain @ Strike,APR @ Strike
AAPL,APPLE INC,10.0,198.15,7.73,4.06,1981.5,77.3,4.06,1890.0,91.5,4.84,No,--,Equity,,,1981.5,1890.0,,,,
ALC,ALCON INC F,20.098,89.61,2.61,3.0,1800.98,52.46,3.0,714.75,1086.23,151.97,No,--,Equity,,,1800.9817799999998,714.75,,,,
AVNS,AVANOS MED INC,12.0,12.47,0.04,0.32,149.64,0.48,0.32,261.6,-111.96,-42.8,Yes,--,Equity,,,149.64000000000001,261.6,,,,
GE,GE AEROSPACE,12.0,181.67,0.16,0.09,2180.04,1.92,0.09,2144.43,35.61,1.66,No,--,Equity,,,2180.04,2144.43,,,,
GEHC,GE HEALTHCARE TECHNOLOGI,4.0,62.81,0.53,0.85,251.24,2.12,0.85,709.3,-458.06,-64.58,No,--,Equity,,,251.24,709.3,,,,
GEV,GE VERNOVA INC,3.0,321.43,11.48,3.7,964.29,34.44,3.7,544.82,419.47,76.99,No,--,Equity,,,964.29,544.82,,,,
GRMN,GARMIN LTD F,118.7626,189.78,2.95,1.58,22538.77,350.35,1.58,7031.52,15507.25,220.54,Yes,--,Equity,,,22538.766228,7031.52,,,,
IBM,IBM CORP,33.9334,235.48,5.93,2.58,7990.64,201.23,2.58,3255.15,4735.49,145.48,Yes,--,Equity,,,7990.637032,3255.15,,,,
KD,KYNDRYL HLDGS INC,5.0,29.45,0.36,1.24,147.25,1.8,1.24,95.32,51.93,54.48,No,--,Equity,,,147.25,95.32,,,,
KMB,KIMBERLY CLARK CORP,127.0629,139.76,2.27,1.65,17758.31,288.43,1.65,9829.31,7929.0,80.67,Yes,--,Equity,,,17758.310903999998,9829.31,,,,
MO,ALTRIA GROUP INC,166.3724,56.65,0.27,0.48,9425.0,44.92,0.48,6581.7,2843.3,43.2,Yes,--,Equity,,,9424.99646,6581.7,,,,
NVDA,NVIDIA CORP,10.0,110.93,3.36,3.12,1109.3,33.6,3.12,1092.7,16.6,1.52,No,--,Equity,,,1109.3000000000002,1092.7,,,,
NVS,NOVARTIS AG FSPONSORED ADR 1 ADR REPS 1 ORD SHS,116.012,107.52,4.12,3.98,12473.61,477.97,3.98,6041.94,6431.67,106.45,No,--,Equity,,,12473.61024,6041.94,,,,
PM,PHILIP MORRIS INTL INC,87.2486,153.89,2.72,1.8,13426.69,237.32,1.8,2528.11,10898.58,431.1,Yes,--,Equity,,,13426.687053999998,2528.11,,,,
SDZNY,SANDOZ GROUP AG FSPONSORED ADR 1 ADR REPS 1 ORD SHS,23.0,39.39,1.08,2.82,905.97,24.84,2.82,330.6,575.37,174.04,No,--,Equity,,,905.97,330.6,,,,
WFC,WELLS FARGO & CO,119.9112,62.51,-0.6,-0.95,7495.65,-71.95,-0.95,4448.81,3046.84,68.49,Yes,--,Equity,,,7495.649111999999,4448.81,,,,
Cash & Cash Investments,--,,,,,8761.72,0.0,0.0,,,,--,--,Cash and Money Market,,,,,,,,
Account Total,--,,,,,109360.6,1757.23,1.63,47500.06,53098.82,111.79,--,--,--,,,,47500.06,,,,
Roth_Contributory_IRA ...327,,,,,,,,,,,,,,,,,,,,,,
Symbol,Description,,,,,,,,,,,Reinvest?,Reinvest Capital Gains?,Security Type,,,,,,,,
GGB,GERDAU S A FSPONSORED ADR 1 ADR REPS 1 ORD SHS,164.414,2.47,0.04,1.65,406.1,6.58,1.65,2078.42,-1672.32,-80.46,No,--,Equity,,,406.10258,2078.42,,,,
AICFX,AMERICAN FUNDS INVMT CO OF AMER F1,342.038,53.59,0.87,1.65,18329.82,297.57,1.65,,,,Yes,Yes,Mutual Fund,,,18329.816420000003,,,,,
AMCPX,AMERICAN FUNDS AMCAP A,310.225,38.76,0.62,1.63,12024.32,192.34,1.63,,,,Yes,Yes,Mutual Fund,,,12024.321,,,,,
Cash & Cash Investments,--,,,,,1635.56,0.0,0.0,,,,--,--,Cash and Money Market,,,,,,,,
Account Total,--,,,,,32395.8,496.49,1.56,2078.42,-1672.32,-80.46,--,--,--,,,,2078.42,,,,
